ACC,No,NS
WALUYO . CV,VEBA000382,WALUYO . CV
CIOMAS LUMAJANG,VEBA000383,CIOMAS LUMAJANG
MIRSA ITA DEWI ADIANA,VEBA000384,MIRSA ITA DEWI ADIANA
CIOMAS TUBAN,VEBA000385,CIOMAS TUBAN
CIOMAS LAMONGAN,VEBA000386,CIOMAS LAMONGAN
BRATANG JAYA TOKO,VEBA000387,BRATANG JAYA TOKO
SAVETA . PT,VEBA000388,SAVETA . PT
MAKMUR JAYA DIESEL,VEBA000389,MAKMUR JAYA DIESEL
CIOMAS BANYUWANGI,VEBA000390,CIOMAS BANYUWANGI
EKA SEAFOOD TRANS,VEBA000391,EKA SEAFOOD TRANS
CIOMAS SRAGEN,VEBA000392,CIOMAS SRAGEN
DELI JAYA,VEBA000393,DELI JAYA
B J U . PT,VEBA000394,B J U . PT
DELI JAYA,VEBA000395,DELI JAYA
AMANAH . UD,VEBA000396,AMANAH . UD
TRIJAYA LESTARI FOOD.PT,VEBA000397,TRIJAYA LESTARI FOOD.PT
CIOMAS MADIUN,VEBA000398,CIOMAS MADIUN
CIOMAS SINGOSARI,VEBA000399,CIOMAS SINGOSARI
CIOMAS MADIUN,VEBA000400,CIOMAS MADIUN
FAJAR JAYA MEDIKA,VEBA000401,FAJAR JAYA MEDIKA
,VEBA000402,SINAR JAYA ELEKTRIK
2 PUTRA JAYA,VEBA000403,2 PUTRA JAYA
SINAR MAS LISTRIK,,
PURI PANGAN SEJATI,,
LIEK MOTOR . PT,,
TYAS EXPEDISI,,
BONDAN EXPEDISI,,
AGUS SUMITRO,,
GLOBAL SENTRACOM,,
ILHAM JAYA PLASTIK 1,,
INDIHOME,,
WAHYU ELECTRO MOTOR - SERVICE DINAMO,,
AJBS FASTENERS,,
CIOMAS ADISATWA . PT,,
SUMBER BIRU UNGGAS GROUP . PT,,
BPJS KETENAGAKERJAAN,,
BPJS KESEHATAN,,
SARANA,,
KONSULTAN PAJAK - DRS DEDY D. RASMIN & REKAN,,
PT. SAMUDERA NAGA GLOBAL,,
CHANDRA EXPEDISI,,
DWI RAHAYU EXPEDISI,,
KOKOH MAJU BERDIKARI . PT,,
TUNAS RIDEAN TBK . PT,,
CANDRA EXPEDISI,,
SINAR SURYA ABADI SEJAHTERA .PT,,
"ROTARYANA JAKARTA , PT",,
MAREL A/S,,
"MOON ENVIRONMENT TECHNOLOGY CO., LTD",,
SINAR SURYA ABADI SEJAHTERA. PT,,
PT. TRIO EAGLE LOGISTIC,,
DIREKTORAT JENDERAL PAJAK,,
CV. AMBASSADOR,,
MLIMPAH ANUGERAH SENTOSA ABADI .CV,,
MELIMPAH ANUGERAH SENTOSA ABADI .CV,,
RIZKI JAYA BAN,,
AXIO SURABAYA,,
DURA NAGA BAJA SAKTI . PT,,
HOSHI INDONESIA . CV,,
STEMPEL,,
EDWIN TJOKROAMIDJOJO,,
SHELTER NUSANTARA. PT,,
WARU GUNUNG . PT / AP BOOTS,,
HARMONIS SENTRA SEMESTA .PT,,
SEKAR AYU,,
SAMACO KARKASINDO UTAMA. PT,,
A.U ABADI CV,,
HARMONIS SENTRA SEMESTA .PT,,
ROTARYANA JAKARTA . PT,,
GEMILANG INTI SUKSES .PT,,
CIPTAQUA,,
GEMILANG INTI SUKSES . PT,,
"KOKOH INTI AREBAMA , TBK .PT",,
CIOMAS PONOROGO,,
PT. TIRTAMAS COLDSTORINDO LOGISTIK,,
MOJOSARI TEKNIK,,
AGUS SERVICE . UD,,
ANUGERAH MEGAH PERKASA,,
PT. SOFFALUX BERKAH JAYA,,
SINAR SURYA BAN,,
BAPAK ERIK SALIM,,
SUPER UNGGAS JAYA,,
TIMUR JAYA INDOSTEEL . PT,,
BUDI EXPEDISI,,
BAPAK ROWI,,
